Command Name, `?command` `?c <required> [optional]`, Description.
Help, `?help`, Shows this help page.
Server Command, `?command <command>`, Send command directly to server, use `?log` to get more server output lines. example: `?/ time set day`
Server Status, `?status`, Shows server's running status, version, motd, and online players.
Server Log, `?serverlog [lines]`, Shows server log. Optionally specify how many most recent lines to show, by default shows 5 most recent.
Server Start, `?start`, Starts Minecraft server up.
Server Stop, `?stop`, Messages all players the server will be halted in 15s. Then will save the world and halt the server.
Server Restart, `?restart` `?reboot`, Uses the `?stop` command first then `?start` command.
Server Version, `?version`, Get Minecraft Server version.
Active Players, `?players`, Gets list of online users.
Save World, `?saveall`, Save current world file. Not the same as making backup or server save.
Say, `?say <message>`, Server sends message to all active players.
Whisper, `?tell <player> <message>`, Whispers message to player.
Kick, `?kick <player> [reason]`, Kick player after 5s, reason is optional.
Ban, `?ban <player> [reason]`, After 5s bans player, providing reason is optional.
Ban List, `?banlist`, Shows banned players with the reason why.
Pardon, `?pardon` `?unban <player> [reason]`, Pardons (unbans) player, reason can be optional.
Kill, `?kill <target> [reason]`, Kill player, default reason 'No reason given'.
Kill Delayed, `?delayedkill <target> <seconds> [reason]`, Kills target after x seconds.
Teleport, `?teleport` `?tp <select_user> <target_user> [reason]`, After 5s teleports player to targeted player.
Game Mode, `?gamemode <player> <mode> [reason]`, Set player's game mode.
Game Mode Timed, `?timedgamemode <player> <mode> <duration> [reason]`, Timed game mode change.
Weather, `?weather <clear/rain/thunder> [minutes]`, Sets weather for x minutes, 0 for random.
Time, `?time <time>`, Set time, examples: 800, 1300, day/night/noon/midnight.
OP List, `?oplist`, Shows list of server operators.
OP Add, `?opadd <player>`, Sets player as server operator.
OP Remove, `?opremove <player>`, Remove players OP privileges.
OP Timed, `?timedop <player> <minutes>`, Set player to OP for a set time in minutes.
World Backups, `?saves` `?backups [amount]`, Shows list of created backups along with corresponding index number. Amount is how many latest backups to show.
World New Backup, `?backup <codename>`, Create a new backup, need to provide a name or keywords. Cannot overwrite existing backup, use `?delete` first.
World Restore, `?restore <index>`, Restore to a saved backup, need to input a index number you get from `?saves`.
World Backup Delete, `?delete <index>`, Delete a saved world backup.
Server Backups, `?serversaves` `?serverbackups [amount]`, Get list of server backups, can specify how many of latest to show.
Server New Backup, `?serverbackup <codename>`, Create backup of all server files.
Server Delete backup, `?serverdelete <index>`, Get index number from `?serverbackups`.
Server Restore, '?serverrestore` `?restoreserver <index>`, Restores server files from backup.
Server Reset, `?serverreset`, Deletes all server files, make a backup beforehand if needed. make a backup beforehand if neededd, downloads latest server jar from official website and launches (do not need to edit eula.txt).
Properties File, `?property <all/property name> [new value]`, Check and change server server.properties file, use all to show full file (without value).
Set Online Mode, `?onlinemode <true/false>`, Set online mode to true or false, restart needed to apply change.
Reboot Bot, `?rebootbot` `?rbot`, Reboots this discord bot.
[HADES Protocol], `?newworld` `?hades`, *WARNING*: Activating HADES Protocol! ||Only deletes world save, generates new one on start. This will not make backup, do so if needed!||

